Time,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres,chiron
A.D. 2018-Jan-12 12:20:00.0000 UTC,271.63190888270185,294.7350904382125,228.88126919798523,226.36832647852577,272.6821791976691,22.772007177976505,343.6936097097455,140.84278467727214,353.66249999999997
A.D. 2018-Jan-13 12:20:00.0000 UTC,273.1186752107921,296.0801453144574,229.50674817626347,226.51649355799483,272.804902070923,22.780337684866467,343.7188361368732,140.67729946960804,353.6958333333334
A.D. 2018-Jan-14 12:20:00.0000 UTC,274.6260601099693,297.42144235374354,230.1330176207334,226.66274617570252,272.92715280216964,22.78948729022683,343.74444767315543,140.50567102420612,353.7291666666667
A.D. 2018-Jan-15 12:20:00.0000 UTC,276.1523726918383,298.75880126601453,230.76006006603077,226.80704985380302,273.0489088341405,22.799454535505404,343.77043787432535,140.32808874724896,353.5125
A.D. 2018-Jan-16 12:20:00.0000 UTC,277.6960787051202,300.0920515395628,231.38785794058472,226.94937040134607,273.1701476105113,22.810237571071237,343.79680011026784,140.14475585889093,353.54583333333335
A.D. 2018-Jan-17 12:20:00.0000 UTC,279.2557816273365,301.4210328413209,232.01639374404985,227.08967399370658,273.29084662374345,22.821834149883568,343.8235275717266,139.95588912429824,353.57916666666665
A.D. 2018-Jan-18 12:20:00.0000 UTC,280.83020646939514,302.7455953962703,232.6456502433983,227.22792725427982,273.4109834680245,22.83424162290423,343.8506132791019,139.76171846113374,353.61666666666673
A.D. 2018-Jan-19 12:20:00.0000 UTC,282.41818594599357,304.0656003476913,233.27561067543525,227.3640973335769,273.5305358961645,22.847456937699505,343.8780500940008,139.56248641998306,353.65416666666664
A.D. 2018-Jan-20 12:20:00.0000 UTC,284.0186486981377,305.3809200944474,233.9062589445318,227.49815198138913,273.64948187851274,22.86147664119328,343.90583073371454,139.35844753644724,353.6875
A.D. 2018-Jan-21 12:20:00.0000 UTC,285.6306092921084,306.6914386014192,234.53757980939028,227.63005960945472,273.76779966225064,22.876296886923413,343.93394778846704,139.14986756085872,353.72499999999997
A.D. 2018-Jan-22 12:20:00.0000 UTC,287.25315975974723,307.9970516849143,235.16955905851037,227.75978934386657,273.88546783051925,22.891913446793904,343.9623937413048,138.93702257443834,353.5125
A.D. 2018-Jan-23 12:20:00.0000 UTC,288.8854624836655,309.29766728448175,235.80218367594625,227.8873110666724,274.0024653620206,22.908321727573593,343.99116099091754,138.72019798672451,353.55416666666673
A.D. 2018-Jan-24 12:20:00.0000 UTC,290.5267442617665,310.59320574180384,236.43544199186397,228.012595443254,274.11877169188205,22.925516793453827,344.0202418784044,138.4996873960623,353.59166666666664
A.D. 2018-Jan-25 12:20:00.0000 UTC,292.17629140095045,311.88360010965636,237.06932379247755,228.13561392534066,274.2343667724917,22.943493397715958,344.0496287196563,138.27579129918522,353.6333333333334
A.D. 2018-Jan-26 12:20:00.0000 UTC,293.83344568243615,313.16879650092835,237.7038203310112,228.25633870968124,274.349231127721,22.962246028349142,344.079313845017,138.04881565138345,353.67083333333335
A.D. 2018-Jan-27 12:20:00.0000 UTC,295.4976010062301,314.44875445116145,238.33892414310495,228.37474262300051,274.463345885503,22.981768973013104,344.1092896464093,137.8190703362482,353.71250000000003
A.D. 2018-Jan-28 12:20:00.0000 UTC,297.1682004668698,315.72344720659896,238.97462854803516,228.4907989025281,274.5766927646221,23.002056406116424,344.13954862847413,137.58686770039094,353.50416666666666
A.D. 2018-Jan-29 12:20:00.0000 UTC,298.844733567073,316.99286178092524,239.6109267466753,228.6044808586207,274.6892539880244,23.023102493275243,344.17008345475114,137.35252141767492,353.54583333333335
A.D. 2018-Jan-30 12:20:00.0000 UTC,300.52673329640527,318.2569985934844,240.24781053910746,228.71576144788733,274.80101210562145,23.044901496783293,344.200886974871,137.11634598951767,353.58750000000003
A.D. 2018-Jan-31 12:20:00.0000 UTC,302.21377293886815,319.5158705673011,240.88526886406862,228.82461284078443,274.9119497386795,23.06744785545371,344.23195221854354,136.878657087419,353.6333333333334
A.D. 2018-Feb-01 12:20:00.0000 UTC,303.90546270537396,320.76950174074517,241.523286516051,228.9310061032853,275.02204929555194,23.09073621218225,344.26327235029225,136.6397726545593,353.675
A.D. 2018-Feb-02 12:20:00.0000 UTC,305.6014464890073,322.01792565184394,242.16184339802092,229.03491109228221,275.131292730753,23.11476137765462,344.29484059325085,136.4000143626595,353.7208333333333
A.D. 2018-Feb-03 12:20:00.0000 UTC,307.3013990641158,323.2611838513123,242.8009144786381,229.1362965886001,275.23966140664,23.139518242120655,344.32665014244884,136.15970885238508,353.51666666666665
A.D. 2018-Feb-04 12:20:00.0000 UTC,309.00502386791817,324.49932481809617,243.4404703539078,229.23513060552003,275.34713607521127,23.16500166437302,344.35869408983496,135.919188306831,353.55833333333334
A.D. 2018-Feb-05 12:20:00.0000 UTC,310.71205124484067,325.73240335628117,244.0804781336869,229.33138076687408,275.4536969545231,23.191206368328494,344.39096537472824,135.67879022228178,353.6041666666667
A.D. 2018-Feb-06 12:20:00.0000 UTC,312.42223685692375,326.96048037725535,244.72090236012923,229.42501466097795,275.5593238535668,23.21812686594004,344.42345676149915,135.43885650972564,353.65000000000003
A.D. 2018-Feb-07 12:20:00.0000 UTC,314.1353599254124,328.18362289538464,245.36170576794663,229.51600011987864,275.6639963036525,23.24575741065341,344.45616083800127,135.19973220201533,353.6958333333334
A.D. 2018-Feb-08 12:20:00.0000 UTC,315.8512210237631,329.4019040806301,246.0028498212315,229.604305415641,275.7676936711018,23.27409197580764,344.4890700257047,134.9617640155126,353.74583333333334
A.D. 2018-Feb-09 12:20:00.0000 UTC,317.56963921923517,330.6154032677593,246.64429504927656,229.68989939069218,275.8703952428247,23.303124248833708,344.5221765938854,134.72529893619608,353.5416666666667
A.D. 2018-Feb-10 12:20:00.0000 UTC,319.290448415228,331.8242058781138,247.28600124397508,229.77275154777269,275.9720802873997,23.332847632782777,344.55547267306065,134.49068290761727,353.59166666666664
A.D. 2018-Feb-11 12:20:00.0000 UTC,321.0134927691348,333.0284032495121,247.92792758847384,229.85283212341358,276.072728099488,23.363255249128432,344.5889502655173,134.25825963618178,353.6375
