time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres,sun,moon,north_node,south_node
A.D. 2020-Oct-14 12:20:00.0000 UTC,248.6085165,299.3561337,88.22783981,187.840435,179.4451251,72.83867632,114.4095176,183.1441474,140.715774,265.7085909,296.3688673,81.1119565,261.1119565
A.D. 2020-Oct-15 12:20:00.0000 UTC,249.2044225,298.8704205,88.87401474,188.8900136,180.6330054,73.32733189,115.0924289,184.321039,141.5062797,265.3968072,283.4279517,80.9793762,260.9793762
A.D. 2020-Oct-16 12:20:00.0000 UTC,249.9106831,298.3796863,89.51934754,189.9322494,181.818553,73.81211449,115.7877564,185.4944893,142.3040691,265.0853508,271.3793408,80.8333434,260.8333434
A.D. 2020-Oct-17 12:20:00.0000 UTC,250.7318939,297.884009,90.16373721,190.9667509,183.0010226,74.29322254,116.4959936,186.6637657,143.1091692,264.7743063,259.899343,80.6879793,260.6879793
A.D. 2020-Oct-18 12:20:00.0000 UTC,251.6710915,297.3834669,90.8070872,191.9931512,184.1796822,74.77085202,117.2176507,187.8281522,143.921604,264.4637623,248.6225554,80.5569275,260.5569275
A.D. 2020-Oct-19 12:20:00.0000 UTC,252.7291148,296.878138,91.44931331,193.0111087,185.3538168,75.24519815,117.9532553,188.986953,144.7413957,264.1538108,237.1755703,80.4512401,260.4512401
A.D. 2020-Oct-20 12:20:00.0000 UTC,253.9038951,296.3680997,92.09034967,194.0203072,186.5227313,75.71645665,118.7033531,190.1394956,145.5685643,263.844545,225.1953964,80.3778134,260.3778134
A.D. 2020-Oct-21 12:20:00.0000 UTC,255.1897257,295.8534282,92.73015139,195.0204561,187.6857531,76.18482394,119.4685062,191.2851333,146.4031264,263.5360589,212.3633187,80.338526,260.338526
A.D. 2020-Oct-22 12:20:00.0000 UTC,256.5765991,295.3341993,93.36869437,196.0112895,188.8422337,76.65049667,120.2492928,192.4232471,147.2450934,263.2284456,198.4824732,80.3301309,260.3301309
A.D. 2020-Oct-23 12:20:00.0000 UTC,258.0497249,294.8104885,94.00597338,196.9925656,189.9915507,77.11367109,121.0463055,193.5532472,148.0944693,262.921797,183.603883,80.3448803,260.3448803
A.D. 2020-Oct-24 12:20:00.0000 UTC,259.5893579,294.2823729,94.64199971,197.9640654,191.1331092,77.57454269,121.8601512,194.6745747,148.9512496,262.6162038,168.131726,80.3718125,260.3718125
A.D. 2020-Oct-25 12:20:00.0000 UTC,261.1710599,293.7499322,95.27679912,198.9255929,192.2663432,78.0333062,122.6914507,195.7867018,149.8154202,262.311756,152.7631028,80.3985784,260.3985784
A.D. 2020-Oct-26 12:20:00.0000 UTC,262.7664721,293.2132499,95.91041007,199.8769734,193.390717,78.49015578,123.5408378,196.8891338,150.6869568,262.0085436,138.215672,80.4136047,260.4136047
